,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality
barabasi_nonlinear_05_83.edgelist,0.027197098976109214,0.31476424525409025,1096.882,3.192764,0.09856048522366471,0.1649015917155096,0.0036321380426737183,0.005149750790349569
barabasi_nonlinear_05_53.edgelist,0.024830279921882265,0.3143340503212619,1098.892,3.196784,0.11451044171856291,0.17436462354984636,0.0036329996485151526,0.005085332457115285
barabasi_nonlinear_05_0.edgelist,0.028581071751837134,0.31457778828153915,1097.777,3.194554,0.07541211182163715,0.17158890778750122,0.0036402515387457825,0.005290998899144007
barabasi_nonlinear_05_93.edgelist,0.028670642409602175,0.31503638515724064,1095.663,3.190326,0.09155835846941289,0.15968816296759955,0.003632469024325234,0.005259380228288706
barabasi_nonlinear_05_12.edgelist,0.025245377065321067,0.3139803843952523,1101.008,3.201016,0.09638413475591631,0.17404856554460382,0.0036393170568419556,0.005249575500604681
barabasi_nonlinear_05_92.edgelist,0.02712914214927222,0.3139671583463029,1100.96,3.20092,0.09342691846369502,0.17932432365016365,0.0036399516733788663,0.005182780712319754
barabasi_nonlinear_05_41.edgelist,0.028009572692634696,0.3128788605820116,1106.233,3.211466,0.08772543238097642,0.20421689845174887,0.0036595397241320172,0.005123859007394121
barabasi_nonlinear_05_14.edgelist,0.02727818206994169,0.3146487909447206,1097.363,3.193726,0.09031740323617926,0.1703221382510811,0.003637917400928277,0.00507241682782617
barabasi_nonlinear_05_66.edgelist,0.027698333747823923,0.3138065187055413,1101.603,3.202206,0.09349420565385862,0.19486192418346354,0.0036520929105085488,0.005175713547971182
barabasi_nonlinear_05_6.edgelist,0.0261958824156901,0.31473673460419793,1096.987,3.192974,0.09993048398034464,0.1708040635934738,0.0036216704262074487,0.005197385848648572
barabasi_nonlinear_05_39.edgelist,0.027664406051492927,0.3142296264914946,1099.5269999999998,3.198054,0.10052381230866775,0.1763400985227903,0.003633204111904928,0.0051998138259953496
barabasi_nonlinear_05_8.edgelist,0.027895415208985454,0.3146855947827509,1097.2,3.1934,0.09437134735166677,0.17955269821682696,0.003629425868149049,0.00505226312167581
barabasi_nonlinear_05_67.edgelist,0.02722297798664358,0.31405775789044166,1100.279,3.199558,0.09845269960694986,0.16867780627564233,0.0036320103766952164,0.005201795297036823
barabasi_nonlinear_05_54.edgelist,0.025989696941569593,0.3143283997457464,1098.958,3.196916,0.09531279002826319,0.15894211598613442,0.003633370938700689,0.005319085670946716
barabasi_nonlinear_05_59.edgelist,0.027354495719098693,0.31414220338430837,1099.892,3.198784,0.10571538170387562,0.17732725547351105,0.0036376740295617853,0.005202848859237905
barabasi_nonlinear_05_60.edgelist,0.026775718372931957,0.3138093986296132,1101.584,3.202168,0.09946178443274684,0.18384989583323777,0.0036477245444096447,0.005279425769838685
barabasi_nonlinear_05_22.edgelist,0.028727643406542488,0.3141238755200146,1100.091,3.199182,0.07553031162590074,0.17667945018668366,0.0036455732037581675,0.005242206190318935
barabasi_nonlinear_05_58.edgelist,0.027804107424960506,0.3155049947559185,1093.344,3.185688,0.09853328640634001,0.14793129028641658,0.0036236045635455135,0.005210840721590417
barabasi_nonlinear_05_73.edgelist,0.0280743625172717,0.3132077960014437,1104.431,3.207862,0.08562696149070026,0.18781764709801108,0.003654977250752403,0.005315214795889199
barabasi_nonlinear_05_97.edgelist,0.02518947136702412,0.313502328371683,1102.904,3.204808,0.09988887010672055,0.18226017926391452,0.0036457471536380836,0.0051763863848909575
barabasi_nonlinear_05_11.edgelist,0.027883086706616118,0.31480793027044046,1096.572,3.192144,0.0973627297061975,0.16292232696813103,0.00363377040287447,0.00514834295092787
barabasi_nonlinear_05_52.edgelist,0.02756252610087699,0.31374458572350955,1102.108,3.203216,0.09077019916008618,0.1936067396581316,0.0036431599923989672,0.005246186886257855
barabasi_nonlinear_05_20.edgelist,0.02723076205722812,0.3136744464318218,1102.199,3.203398,0.10268663184723581,0.1874659811275978,0.003638119080963947,0.005224071369895401
barabasi_nonlinear_05_25.edgelist,0.028617151463804953,0.31324361794340955,1104.2789999999998,3.207558,0.08789315418721406,0.1835818250925588,0.00363756597406878,0.005120703494648819
barabasi_nonlinear_05_76.edgelist,0.02666625371655104,0.3143922277096259,1098.5869999999998,3.196174,0.10927133042876136,0.16275709127344007,0.0036304099843032563,0.005096823126628682
barabasi_nonlinear_05_48.edgelist,0.025553024866618826,0.313836341994207,1101.428,3.201856,0.08193769729547923,0.19477144271006017,0.0036437975297542715,0.005280585056936591
barabasi_nonlinear_05_65.edgelist,0.026647900539526155,0.3135204178321495,1102.817,3.204634,0.10183386495727814,0.1725674467789833,0.003644506627560682,0.005330483049568109
barabasi_nonlinear_05_15.edgelist,0.02619125708663262,0.31393545542493384,1100.802,3.200604,0.08852617721025928,0.174887403670891,0.0036596455090090654,0.0052966660423759086
barabasi_nonlinear_05_77.edgelist,0.028811580667756246,0.3137124414614337,1101.877,3.202754,0.08773764270886926,0.17839665912778913,0.0036402947385644046,0.0051625843365353825
barabasi_nonlinear_05_4.edgelist,0.027104572370429156,0.31497531758147296,1095.703,3.190406,0.09354889737108973,0.16239447790801056,0.003627865724054107,0.005092855321805144
barabasi_nonlinear_05_63.edgelist,0.0264988807550366,0.3151287901568656,1095.2419999999997,3.189484,0.0915008264788063,0.16917306993473444,0.0036302208462322084,0.005142457074297972
barabasi_nonlinear_05_72.edgelist,0.029081914828243103,0.3140590108854974,1100.414,3.199828,0.09864138460574395,0.1737758428211437,0.0036331523369587844,0.005160515804276561
barabasi_nonlinear_05_45.edgelist,0.02505498561914576,0.3146675973159052,1097.2839999999999,3.193568,0.09462986606917631,0.16746697233613053,0.0036398504683939734,0.005195603847565624
barabasi_nonlinear_05_79.edgelist,0.0275961789906013,0.3142801345631804,1099.283,3.197566,0.092304220155571,0.17833848844015204,0.003632658974994147,0.0052036022906446315
barabasi_nonlinear_05_17.edgelist,0.026697353279631762,0.31496823999869367,1095.5299999999997,3.19006,0.09788233506981724,0.1518214486023678,0.003616960401171612,0.005266429770205077
barabasi_nonlinear_05_23.edgelist,0.027941633033219497,0.3142041179683923,1099.353,3.197706,0.09781032618499447,0.1857249936930919,0.003640589806720858,0.005175052655269166
barabasi_nonlinear_05_95.edgelist,0.02717116454415889,0.3145259582578273,1098.013,3.195026,0.103440046911566,0.17001890147993579,0.0036305035141630314,0.0052127892311465635
barabasi_nonlinear_05_19.edgelist,0.02541009971051785,0.3145542067539654,1097.963,3.194926,0.1019244440748914,0.16713714982232664,0.0036402277978633568,0.005146797524789031
barabasi_nonlinear_05_75.edgelist,0.02578526421646423,0.31355591591290227,1102.509,3.204018,0.09410009737708384,0.18196466322634142,0.0036493132131992204,0.005279619301637338
barabasi_nonlinear_05_38.edgelist,0.025719307984087336,0.31431237526023004,1099.17,3.19734,0.09544864114730472,0.17229405536236392,0.003638916258713466,0.005058410764577194
barabasi_nonlinear_05_44.edgelist,0.028534811543628306,0.31400988925276224,1100.625,3.20025,0.09134130082431739,0.17679319239792798,0.0036530669250952616,0.0053003195983666465
barabasi_nonlinear_05_37.edgelist,0.02626022900645718,0.3140950860420827,1100.25,3.1995,0.11095935619649579,0.17042965403296148,0.003631678318065588,0.005227183756609506
barabasi_nonlinear_05_2.edgelist,0.02698699254733139,0.31435923301240404,1098.875,3.19675,0.09097071744676065,0.18295867311258418,0.00364239272505857,0.005326185907030014
barabasi_nonlinear_05_40.edgelist,0.02913300186451212,0.31321089229764576,1104.602,3.208204,0.08586403801218595,0.1871501185660567,0.0036436256634710834,0.005175779336963016
barabasi_nonlinear_05_32.edgelist,0.026443839875631557,0.3139407375054133,1100.9489999999998,3.200898,0.09625353889141317,0.18615138391669406,0.003646868039833604,0.0052798752338922466
barabasi_nonlinear_05_85.edgelist,0.0267848867743829,0.3145095695054569,1098.013,3.195026,0.10542513346136104,0.16130023395335574,0.003631115679160067,0.005162648390719885
barabasi_nonlinear_05_31.edgelist,0.02610537301063552,0.3145980297130177,1097.6549999999997,3.19431,0.10308515353748761,0.15395737787569935,0.0036342903038887407,0.005215848884824867
barabasi_nonlinear_05_64.edgelist,0.026124276917335324,0.3139181700603827,1101.058,3.201116,0.09030807169594954,0.17839836633554146,0.003640925548998731,0.005026010413119151
barabasi_nonlinear_05_24.edgelist,0.026663745755551034,0.3135293633891015,1102.82,3.20464,0.08612457122216516,0.18481424535697505,0.003639868453718117,0.005162728561630392
barabasi_nonlinear_05_21.edgelist,0.024396765973511182,0.3134977306846402,1102.969,3.204938,0.10799932273914024,0.1840970293470786,0.0036525879489497075,0.005180254484619472
barabasi_nonlinear_05_46.edgelist,0.027689224883869205,0.3153585782958127,1093.753,3.186506,0.10099579451338807,0.16402436189529723,0.00361951988021245,0.005266551224217128
barabasi_nonlinear_05_62.edgelist,0.028247448267303694,0.31407053323452566,1099.915,3.19883,0.0878666513302729,0.16790915557932518,0.0036338740380662264,0.005089660535279046
barabasi_nonlinear_05_86.edgelist,0.026657584717556543,0.31399114588769056,1100.524,3.200048,0.09707242889905268,0.15646456906185502,0.0036500774172031156,0.005145966458656858
barabasi_nonlinear_05_90.edgelist,0.026404004224640676,0.3151752715229332,1094.59,3.18818,0.10507847391638435,0.1602555950031639,0.0036168122491158756,0.005279621186600902
barabasi_nonlinear_05_74.edgelist,0.02674452917514405,0.31383003044772545,1101.697,3.202394,0.09512287586957986,0.1836131702091584,0.0036475449923849606,0.0051515659645249255
barabasi_nonlinear_05_91.edgelist,0.027470236716542362,0.3145528455762897,1097.766,3.194532,0.10611193650545678,0.17161883918559448,0.0036338999302188233,0.005253407215566555
barabasi_nonlinear_05_94.edgelist,0.02646762524040663,0.3146369915265437,1097.504,3.194008,0.09985234940857214,0.15932681119974743,0.003634266913180973,0.00520923054630748
barabasi_nonlinear_05_43.edgelist,0.02765406042924316,0.3138997458482661,1101.235,3.20147,0.0898307221121763,0.17554487452282824,0.003642870645833921,0.005097526377634149
barabasi_nonlinear_05_82.edgelist,0.026817860110164016,0.31458363291886504,1097.565,3.19413,0.09898919897891673,0.17284412440157138,0.00362406915477544,0.005267888539840985
barabasi_nonlinear_05_7.edgelist,0.027704425075939128,0.31451120356604906,1098.1689999999999,3.195338,0.09607783649662989,0.16932542267034772,0.0036377946004121594,0.005111949663966947
barabasi_nonlinear_05_68.edgelist,0.02711743107847408,0.3137635117292439,1101.799,3.202598,0.09886207716383226,0.18463928827025725,0.0036454601272745365,0.005153054116843659
barabasi_nonlinear_05_36.edgelist,0.029510196421869136,0.31337693939046185,1103.669,3.206338,0.09010137675276389,0.18877934274505903,0.0036476149389532086,0.0052916702913900346
barabasi_nonlinear_05_42.edgelist,0.027050597231090278,0.3137797951574906,1101.857,3.202714,0.10632594887659366,0.18518378212907935,0.0036464388538794404,0.005207406367952259
barabasi_nonlinear_05_87.edgelist,0.025205753283463216,0.3139343625221302,1100.859,3.200718,0.10040684287819596,0.17070729366773363,0.0036491226373969914,0.005304412640380748
barabasi_nonlinear_05_70.edgelist,0.02615756047301973,0.31489290453237656,1096.054,3.191108,0.0865320990499099,0.16170900476445305,0.003628235902966405,0.005177674519964574
barabasi_nonlinear_05_5.edgelist,0.02656622338381121,0.3145026235557009,1098.1619999999998,3.195324,0.10125641120372326,0.16834686139833802,0.003639548795852513,0.005144670290151616
barabasi_nonlinear_05_10.edgelist,0.027924551486851808,0.3143131117553256,1099.302,3.197604,0.09107759964192372,0.18212774147195798,0.003635086495306253,0.005140720359641207
barabasi_nonlinear_05_57.edgelist,0.028274812991045527,0.31328052155432967,1104.134,3.207268,0.09677476988464111,0.17833196378846358,0.0036518926281887,0.005233111539803445
barabasi_nonlinear_05_33.edgelist,0.026015413136404725,0.3145826213543538,1097.906,3.194812,0.09776219338610792,0.17741304833142896,0.003638886133084675,0.005155015533058645
