,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
barabasi_linear_65.edgelist,0.0304208778596182,0.3339222354775575,1005.226,3.009452,0.0780751576108066,-0.0255042702170456,0.0034199388443704,0.004995449538351,3.636048748800125,34.0624426605022
barabasi_linear_33.edgelist,0.0315369348542016,0.3342178793205935,1004.3590000000004,3.007718,0.0718400528637976,-0.0193211308160614,0.003433103522921,0.0049218982789119,3.644975397160885,34.0624426605022
barabasi_linear_12.edgelist,0.0305632512500137,0.3338876009524984,1005.621,3.010242,0.0926128126007696,-0.0312355163889679,0.0034258241749584,0.0049311965260691,3.65036776096724,26.84523545560118
barabasi_linear_67.edgelist,0.0313042897233729,0.3335099817305055,1007.158,3.013316,0.0825133701615336,-0.0206512385605699,0.0034302309298334,0.0049597606417946,3.63952463123351,27.422618401604176
barabasi_linear_75.edgelist,0.0301811526701662,0.3341971726251087,1004.178,3.007356,0.0937447372728673,-0.0202416106272938,0.0034240967618782,0.0050286696806661,3.626476674455648,27.13392710243027
barabasi_linear_23.edgelist,0.0290786548082267,0.3308070870044808,1019.8899999999998,3.03878,0.0815735970517837,-0.0036555975247056,0.0034532776084241,0.0049705224177022,3.680676988944183,32.90769920044041
barabasi_linear_45.edgelist,0.0327648545739609,0.3352808963125254,999.726,2.998452,0.0791167641345686,-0.0241312235441221,0.003431838037122,0.004809675305012,3.6439950438282898,34.0624426605022
barabasi_linear_46.edgelist,0.0307692307692307,0.3339815125249051,1005.598,3.010196,0.060771542990933,-0.0354950916063013,0.0034389620787246,0.0050020195391729,3.650212707643036,43.01162633521314
barabasi_linear_99.edgelist,0.0317253748318587,0.3339834484443246,1005.422,3.009844,0.0761572158848193,-0.0201977894945798,0.0034267478500237,0.0050411602870681,3.646846898617098,34.0624426605022
barabasi_linear_85.edgelist,0.0317488910405079,0.3327775915824119,1010.567,3.020134,0.0894549849392824,-0.0159027409388268,0.0034410955557422,0.0050900285568937,3.652961766530341,25.69046515733026
barabasi_linear_54.edgelist,0.0300751879699248,0.3348195372308111,1001.419,3.001838,0.0923556675960647,-0.0372032126202553,0.0034183930924491,0.0048305419918462,3.617259641561533,27.422618401604176
barabasi_linear_62.edgelist,0.0310960241593061,0.3323637957902765,1012.41,3.02382,0.0807070463841941,-0.0176017301794141,0.0034377669502895,0.0050182430671388,3.647945290161072,30.02082610455615
barabasi_linear_48.edgelist,0.0295371050698016,0.3326200952592629,1011.2859999999998,3.021572,0.0773055231158465,-0.0156022107227122,0.0034330450327888,0.0048839921940767,3.6538184820597808,32.61901286060018
barabasi_linear_77.edgelist,0.0307485565260964,0.3315507925512925,1016.5789999999998,3.032158,0.0841604131561705,-0.0021366421410604,0.0034429598671225,0.0049999698378667,3.664417535722048,25.979158313283875
barabasi_linear_53.edgelist,0.03251772823101,0.3351099142161359,1000.607,3.000214,0.0690026949626628,-0.0207926087875327,0.0034358036542836,0.0049060892411176,3.654659770570453,38.39270764090493
barabasi_linear_95.edgelist,0.0322809544486925,0.3351331106853784,1000.439,2.999878,0.0668694333185414,-0.0269658987215676,0.0034319217435409,0.0049397205631227,3.640232394534136,38.39270764090493
barabasi_linear_42.edgelist,0.0303504757316632,0.3344568377334797,1002.77,3.00454,0.0823780942767306,-0.0234283656663175,0.0034107471030296,0.0049218065550172,3.6317031031925104,29.154759474226505
barabasi_linear_83.edgelist,0.0325665628772955,0.3355741649599033,998.55,2.9961,0.0720755062501663,-0.0226576481249266,0.0034245927410427,0.0049234323098554,3.636006750466565,36.66060555964672
barabasi_linear_50.edgelist,0.0321758783644955,0.3361707758989833,996.166,2.991332,0.0738063878883555,-0.0398202168704637,0.0034230342738885,0.0050322625362913,3.6232738709963295,36.66060555964672
barabasi_linear_44.edgelist,0.0305451436838298,0.3346248403668417,1002.072,3.003144,0.0900098462165392,-0.0343815814168177,0.0034233030342751,0.0048447910285918,3.62459920446877,27.71130936398832
barabasi_linear_61.edgelist,0.0309733000581176,0.3313936895619933,1017.2069999999998,3.033414,0.072916422884086,-0.0164189882254609,0.0034489358027623,0.00501773299073,3.660602029297592,33.77375707064091
barabasi_linear_19.edgelist,0.0313596876096876,0.3343203799686736,1003.604,3.006208,0.0715784640174206,-0.0208664706422417,0.0034378608702575,0.0049735441766354,3.639010237776711,32.61901286060018
barabasi_linear_80.edgelist,0.0332634971796938,0.3344079980466842,1003.8389999999998,3.006678,0.0737345277442299,-0.0161389773108797,0.003444065678658,0.0050024600237559,3.654451515265972,36.94928957368463
barabasi_linear_92.edgelist,0.0306376377562562,0.3350615462843351,1000.4199999999998,2.99984,0.083858497639736,-0.0286642451448683,0.0034243927637455,0.0049063551327219,3.6320635522752975,31.752952618614856
barabasi_linear_5.edgelist,0.0299977150815498,0.3349066333626345,1000.8019999999998,3.000604,0.0767023581661634,-0.0250925302361061,0.0034188431940237,0.0049705394549433,3.628932219409761,30.02082610455615
barabasi_linear_37.edgelist,0.0318697561649953,0.3357017808784335,997.423,2.993846,0.0888932502165706,-0.0344014606195423,0.0034195059033006,0.0049702102725283,3.631087263846843,28.57738033247041
barabasi_linear_6.edgelist,0.0319510537049626,0.3347842124336323,1001.7329999999998,3.002466,0.0781928477142051,-0.0243195255951924,0.0034273182459478,0.0050901788908297,3.6419577830780994,32.33032632065442
barabasi_linear_96.edgelist,0.0320701638259142,0.3329736953563461,1010.2179999999998,3.019436,0.0684019639578987,-0.0143898043599772,0.0034240248771475,0.0049735973060352,3.6527846914490345,36.66060555964672
barabasi_linear_63.edgelist,0.0322315390857452,0.3337225513810086,1006.8939999999998,3.012788,0.0796473933059378,-0.0240887699938425,0.0034363607222878,0.0050700861095013,3.650709237652772,32.041639575194445
barabasi_linear_14.edgelist,0.0307527187900426,0.3339478818164997,1005.611,3.010222,0.0793372810373504,-0.0194857572507184,0.0034348118581174,0.0049359398444437,3.632636041385221,33.19638534539566
barabasi_linear_16.edgelist,0.0308818057794865,0.3326687154011641,1011.231,3.021462,0.0766626138959278,-0.0114802379631437,0.0034283550523066,0.005014045708244,3.648789034060089,31.464265445104548
barabasi_linear_2.edgelist,0.0333043031174254,0.3361669594410797,995.686,2.990372,0.0831809427231452,-0.031042101804231,0.0034284510386114,0.004990627778892,3.633561643541413,30.598202561588483
barabasi_linear_3.edgelist,0.0336966157376023,0.3363808961140216,994.9179999999998,2.988836,0.078895822802674,-0.0281781524790428,0.0034278602829026,0.0049601653511672,3.631014955872661,33.19638534539566
barabasi_linear_72.edgelist,0.0327833999489752,0.3349447536648876,1001.4259999999998,3.001852,0.0865753654953608,-0.0183925951849879,0.0034501328211606,0.0048035720392703,3.644213005795284,31.752952618614856
