,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
barabasi_nonlinear_15_63.edgelist,0.0244670969865848,0.4383808623179714,647.0549999999998,2.29311,0.0631388973001278,-0.3216778217606578,0.0029858006132681,0.0036570290219157,2.71433073943115,145.49198145144177
barabasi_nonlinear_15_66.edgelist,0.0263254868453554,0.4357677789159577,652.908,2.304816,0.0609682226013653,-0.3569019444581849,0.0029486980175849,0.0036512863019688,2.591734753548843,149.8221167473837
barabasi_nonlinear_15_82.edgelist,0.024573934469508,0.4445906688212013,630.9210000000004,2.260842,0.0619604521605442,-0.3090950240821202,0.0029658552633157,0.0037546973140873,2.6525236401855667,154.72960285607925
barabasi_nonlinear_15_3.edgelist,0.0241994116429596,0.44669791580512,625.6600000000002,2.25032,0.0610758636523125,-0.3309611853540347,0.0029611458705523,0.0036249647613029,2.6353561731106203,157.90503475190397
barabasi_nonlinear_15_7.edgelist,0.023600113752,0.4505349095924123,615.6470000000005,2.230294,0.0605281596714206,-0.3416353426960775,0.0029544395013073,0.0035568095248916,2.611488684238782,165.98795136997143
barabasi_nonlinear_15_45.edgelist,0.0241856337270881,0.4555644592170428,602.9360000000001,2.204872,0.0610997987500476,-0.3410504596592751,0.002965042310057,0.0036666230490544,2.662737781555698,167.14265364252975
barabasi_nonlinear_15_25.edgelist,0.0253500562590416,0.4276013907198276,675.96,2.35092,0.058723655257606,-0.3041007538991088,0.0029876468010272,0.0038544907449659,2.717214671460487,144.62595433277758
barabasi_nonlinear_15_42.edgelist,0.0254992507416128,0.4350567742668875,654.8190000000001,2.308638,0.0652152977506887,-0.3533907823476022,0.0029549195468061,0.0037485659350647,2.6192998846168267,135.3883303686104
barabasi_nonlinear_15_64.edgelist,0.0245664961440771,0.4513629468797605,613.653,2.226306,0.0596915975607049,-0.3353262874080495,0.0029387821247411,0.0035153945158652,2.576928756348453,167.43132920693188
barabasi_nonlinear_15_61.edgelist,0.0233199738083735,0.4548450653299549,605.8610000000001,2.210722,0.0500400185313527,-0.2803120982020178,0.0029853889531331,0.0036051888312931,2.704465676308467,203.2270897296913
barabasi_nonlinear_15_39.edgelist,0.0276500800621632,0.4263063108740308,678.806,2.356612,0.0650541620512673,-0.3425710307417713,0.0029673174476314,0.003575680830315,2.6643298154012607,129.6148139681572
barabasi_nonlinear_15_98.edgelist,0.0248335237964307,0.4507329916449294,615.4120000000003,2.229824,0.0552197246880525,-0.3269016479659405,0.0029422055276315,0.0035459456544657,2.578700377092204,181.8651056873381
barabasi_nonlinear_15_75.edgelist,0.0237395245173447,0.4490270842252487,618.968,2.236936,0.070615943065299,-0.3539110333309199,0.0029514981210955,0.0034993338874233,2.6051409835200303,141.7391971192161
barabasi_nonlinear_15_72.edgelist,0.024134777294368,0.4496544880318033,617.2639999999999,2.233528,0.0695233562094094,-0.3679052376454536,0.0029672082538068,0.0036355646931989,2.652165582387072,139.4297911734313
