network,consensus_time,opinion_change_frequency
erdos_renyi_161_p0.1402.edgelist,30.66,2580.57
erdos_renyi_162_p0.7043.edgelist,3.52,217.86
erdos_renyi_163_p0.0013.edgelist,100000.0,558.56
erdos_renyi_164_p0.4163.edgelist,7.06,221.77
erdos_renyi_165_p0.6871.edgelist,4.65,2304.36
erdos_renyi_166_p0.1103.edgelist,29.19,251.86
erdos_renyi_167_p0.4303.edgelist,6.47,250.73
erdos_renyi_168_p0.9208.edgelist,2.38,2240.97
erdos_renyi_169_p0.6057.edgelist,3.3,25.39
erdos_renyi_170_p0.7181.edgelist,3.27,223.67
erdos_renyi_171_p0.9178.edgelist,2.55,2294.74
erdos_renyi_172_p0.7942.edgelist,3.65,2480.2
erdos_renyi_173_p0.1168.edgelist,27.18,238.21
erdos_renyi_174_p0.6938.edgelist,4.61,2302.81
erdos_renyi_175_p0.5164.edgelist,5.13,235.84
erdos_renyi_176_p0.3567.edgelist,6.15,25.55
erdos_renyi_177_p0.9444.edgelist,1.53,22.23
erdos_renyi_178_p0.4558.edgelist,6.06,222.18
erdos_renyi_179_p0.2169.edgelist,18.63,2518.73
erdos_renyi_180_p0.0917.edgelist,49.02,3280.07
erdos_renyi_181_p0.0205.edgelist,202.79,262.49
erdos_renyi_182_p0.4153.edgelist,9.3,2900.18
erdos_renyi_183_p0.7491.edgelist,3.18,222.96
erdos_renyi_184_p0.3376.edgelist,11.73,2802.3
erdos_renyi_185_p0.8296.edgelist,2.81,236.24
erdos_renyi_186_p0.5426.edgelist,6.33,2300.7
erdos_renyi_187_p0.4758.edgelist,5.91,223.86
erdos_renyi_188_p0.3297.edgelist,8.97,255.78
erdos_renyi_189_p0.2983.edgelist,7.8,26.32
erdos_renyi_190_p0.6193.edgelist,5.39,2357.82
erdos_renyi_191_p0.8661.edgelist,2.47,231.2
erdos_renyi_192_p0.9550.edgelist,1.62,23.42
erdos_renyi_193_p0.5272.edgelist,6.77,2416.76
erdos_renyi_194_p0.0637.edgelist,70.48,2893.8
erdos_renyi_195_p0.7138.edgelist,4.29,2360.06
erdos_renyi_196_p0.4434.edgelist,8.36,2536.69
erdos_renyi_197_p0.4860.edgelist,7.32,2599.55
erdos_renyi_198_p0.5514.edgelist,6.38,2300.64
erdos_renyi_199_p0.9984.edgelist,1.46,2295.43
